Date,Confirmed,Deaths,Recovered,Active
22/01/2020,0,0,0,0
23/01/2020,0,0,0,0
24/01/2020,0,0,0,0
25/01/2020,0,0,0,0
26/01/2020,1,0,0,1
27/01/2020,1,0,0,1
28/01/2020,2,0,0,2
29/01/2020,2,0,0,2
30/01/2020,2,0,0,2
31/01/2020,4,0,0,4
01/02/2020,4,0,0,4
02/02/2020,4,0,0,4
03/02/2020,4,0,0,4
04/02/2020,4,0,0,4
05/02/2020,5,0,0,5
06/02/2020,5,0,0,5
07/02/2020,7,0,0,7
08/02/2020,7,0,0,7
09/02/2020,7,0,0,7
10/02/2020,7,0,0,7
11/02/2020,7,0,0,7
12/02/2020,7,0,1,6
13/02/2020,7,0,1,6
14/02/2020,7,0,1,6
15/02/2020,7,0,1,6
16/02/2020,7,0,1,6
17/02/2020,8,0,1,7
18/02/2020,8,0,1,7
19/02/2020,8,0,1,7
20/02/2020,8,0,1,7
21/02/2020,9,0,3,6
22/02/2020,9,0,3,6
23/02/2020,9,0,3,6
24/02/2020,10,0,3,7
25/02/2020,11,0,3,8
26/02/2020,11,0,3,8
27/02/2020,13,0,6,7
28/02/2020,14,0,6,8
29/02/2020,20,0,6,14
01/03/2020,24,0,6,18
02/03/2020,27,0,6,21
03/03/2020,30,0,6,24
04/03/2020,33,0,6,27
05/03/2020,37,0,6,31
06/03/2020,49,0,6,43
07/03/2020,54,0,8,46
08/03/2020,64,0,8,56
09/03/2020,77,1,8,68
10/03/2020,79,1,8,70
11/03/2020,108,1,8,99
12/03/2020,117,1,8,108
13/03/2020,191,1,8,182
14/03/2020,196,1,8,187
15/03/2020,250,1,8,241
16/03/2020,413,4,9,400
17/03/2020,470,5,9,456
18/03/2020,648,8,9,631
19/03/2020,791,9,9,773
20/03/2020,933,12,9,912
21/03/2020,1267,19,10,1238
22/03/2020,1456,20,10,1426
23/03/2020,2075,24,10,2041
24/03/2020,2777,25,110,2642
25/03/2020,3238,29,183,3026
26/03/2020,4029,37,184,3808
27/03/2020,4669,53,256,4360
28/03/2020,5563,60,466,5037
29/03/2020,6267,63,466,5738
30/03/2020,7385,79,466,6840
31/03/2020,8514,100,1592,6822
01/04/2020,9547,108,1324,8115
02/04/2020,11271,138,1735,9398
03/04/2020,12424,178,2175,10071
04/04/2020,12965,217,2577,10171
05/04/2020,15743,258,3012,12473
06/04/2020,16550,338,3256,12956
07/04/2020,17859,374,3791,13694
08/04/2020,19128,406,4154,14568
09/04/2020,20641,502,5162,14977
10/04/2020,22046,556,5855,15635
11/04/2020,23303,653,6589,16061
12/04/2020,24286,713,7123,16450
13/04/2020,25667,780,7758,17129
14/04/2020,27022,900,8210,17912
15/04/2020,28196,1007,8966,18223
16/04/2020,30796,1258,9698,19840
17/04/2020,32801,1355,10545,20901
18/04/2020,34343,1400,10964,21979
19/04/2020,35620,1564,11847,22209
