Date,Global
22/01/20,555
23/01/20,654
24/01/20,941
25/01/20,1434
26/01/20,2118
27/01/20,2927
28/01/20,5578
29/01/20,6166
30/01/20,8234
31/01/20,9927
01/02/20,12038
02/02/20,16787
03/02/20,19887
04/02/20,23898
05/02/20,27642
06/02/20,30801
07/02/20,34397
08/02/20,37130
09/02/20,40161
10/02/20,42768
11/02/20,44809
12/02/20,45228
13/02/20,60376
14/02/20,66894
15/02/20,69039
16/02/20,71233
17/02/20,73268
18/02/20,75146
19/02/20,75650
20/02/20,76210
21/02/20,76833
22/02/20,78586
23/02/20,78977
24/02/20,79542
25/02/20,80393
26/02/20,81370
27/02/20,82733
28/02/20,84106
29/02/20,86005
01/03/20,88383
02/03/20,90356
03/03/20,92933
04/03/20,95235
05/03/20,98023
06/03/20,101971
07/03/20,106004
08/03/20,109963
09/03/20,113844
10/03/20,118880
11/03/20,126546
12/03/20,132240
13/03/20,146672
14/03/20,157773
15/03/20,168954
16/03/20,183593
17/03/20,199419
18/03/20,218989
19/03/20,246905
20/03/20,276475
21/03/20,308790
22/03/20,342252
23/03/20,384404
24/03/20,425535
25/03/20,476369
26/03/20,539307
27/03/20,603674
28/03/20,671309
29/03/20,730880
30/03/20,795425
31/03/20,871674
01/04/20,947840
02/04/20,1029275
03/04/20,1112215
04/04/20,1192742
05/04/20,1264109
06/04/20,1337062
07/04/20,1413812
08/04/20,1497403
09/04/20,1583844
10/04/20,1671729
11/04/20,1748223
12/04/20,1845226
13/04/20,1915142
14/04/20,1984840
15/04/20,2065566
16/04/20,2162241
17/04/20,2250566
18/04/20,2323831
19/04/20,2404673
20/04/20,2477668
21/04/20,2552783
22/04/20,2629660
23/04/20,2719097
24/04/20,2806113
25/04/20,2890304
26/04/20,2963242
27/04/20,3032503
28/04/20,3107085
29/04/20,3183962
30/04/20,3267740
01/05/20,3354731
02/05/20,3435281
03/05/20,3513023
04/05/20,3589133
05/05/20,3669172
06/05/20,3759093
07/05/20,3848305
08/05/20,3939833
09/05/20,4023441
10/05/20,4099732
11/05/20,4176006
12/05/20,4259403
13/05/20,4344421
14/05/20,4441499
15/05/20,4537879
16/05/20,4629672
17/05/20,4708205
18/05/20,4796476
19/05/20,4892934
20/05/20,4995742
21/05/20,5102278
22/05/20,5209244
23/05/20,5308225
24/05/20,5403524
25/05/20,5490497
26/05/20,5583031
27/05/20,5685633
28/05/20,5803599
29/05/20,5924709
30/05/20,6053134
31/05/20,6160243
01/06/20,6256493
02/06/20,6369046
03/06/20,6496381
04/06/20,6623083
05/06/20,6755724
06/06/20,6881530
07/06/20,6993970
08/06/20,7097409
09/06/20,7220392
10/06/20,7354172
11/06/20,7492360
12/06/20,7621346
13/06/20,7755445
14/06/20,7888575
15/06/20,8010360
16/06/20,8149939
17/06/20,8325831
18/06/20,8464706
19/06/20,8645640
20/06/20,8803904
21/06/20,8934807
22/06/20,9072666
23/06/20,9238013
24/06/20,9405649
25/06/20,9583608
26/06/20,9774609
27/06/20,9952423
28/06/20,10117641
29/06/20,10273510
30/06/20,10447879
01/07/20,10664168
02/07/20,10871926
03/07/20,11074878
04/07/20,11267309
