Date,Confirmed,Deaths,Recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,0,0,0
31/01/2020,2,0,0
01/02/2020,2,0,0
02/02/2020,2,0,0
03/02/2020,2,0,0
04/02/2020,2,0,0
05/02/2020,2,0,0
06/02/2020,2,0,0
07/02/2020,3,0,0
08/02/2020,3,0,0
09/02/2020,3,0,0
10/02/2020,3,0,0
11/02/2020,3,0,0
12/02/2020,3,0,0
13/02/2020,3,0,0
14/02/2020,3,0,0
15/02/2020,3,0,0
16/02/2020,3,0,0
17/02/2020,3,0,0
18/02/2020,3,0,0
19/02/2020,3,0,0
20/02/2020,3,0,0
21/02/2020,20,1,0
22/02/2020,62,2,1
23/02/2020,155,3,2
24/02/2020,229,7,1
25/02/2020,322,10,1
26/02/2020,453,12,3
27/02/2020,655,17,45
28/02/2020,888,21,46
29/02/2020,1128,29,46
01/03/2020,1694,34,83
02/03/2020,2036,52,149
03/03/2020,2502,79,160
04/03/2020,3089,107,276
05/03/2020,3858,148,414
06/03/2020,4636,197,523
07/03/2020,5883,233,589
08/03/2020,7375,366,622
09/03/2020,9172,463,724
10/03/2020,10149,631,724
11/03/2020,12462,827,1045
12/03/2020,15113,1016,1045
13/03/2020,17660,1266,1439
14/03/2020,21157,1441,1966
15/03/2020,24747,1809,2335
16/03/2020,27980,2158,2749
17/03/2020,31506,2503,2941
18/03/2020,35713,2978,4025
19/03/2020,41035,3405,4440
20/03/2020,47021,4032,4440
21/03/2020,53578,4825,6072
22/03/2020,59138,5476,7024
23/03/2020,63927,6077,7024
24/03/2020,69176,6820,8326
25/03/2020,74386,7503,9362
26/03/2020,80589,8215,10361
27/03/2020,86498,9134,10950
28/03/2020,92472,10023,12384
29/03/2020,97689,10779,13030
30/03/2020,101739,11591,14620
31/03/2020,105792,12428,15729
01/04/2020,110574,13155,16847
02/04/2020,115242,13915,18278
03/04/2020,119827,14681,19758
04/04/2020,124632,15362,20996
05/04/2020,128948,15887,21815
06/04/2020,132547,16523,22837
07/04/2020,135586,17127,24392
08/04/2020,139422,17669,26491
09/04/2020,143626,18279,28470
10/04/2020,147577,18849,30455
11/04/2020,152271,19468,32534
12/04/2020,156363,19899,34211
13/04/2020,159516,20465,35435
14/04/2020,162488,21067,37130
15/04/2020,165155,21645,38092
16/04/2020,168941,22170,40164
17/04/2020,172434,22745,42727
18/04/2020,175925,23227,44927
19/04/2020,178972,23660,47055
20/04/2020,181228,24114,48877
21/04/2020,183957,24648,51600
22/04/2020,187327,25085,54543
23/04/2020,189973,25549,57576
24/04/2020,192994,25969,60498
25/04/2020,195351,26384,63120
26/04/2020,197675,26644,64928
27/04/2020,199414,26977,66624
28/04/2020,201505,27359,68941
29/04/2020,203591,27682,71252
30/04/2020,205463,27967,75945
01/05/2020,207428,28236,78249
02/05/2020,209328,28710,79914
03/05/2020,210717,28884,81654
04/05/2020,211938,29079,82879
05/05/2020,213013,29315,85231
06/05/2020,214457,29684,93245
07/05/2020,215858,29958,96276
08/05/2020,217185,30201,99023
09/05/2020,218268,30395,103031
10/05/2020,219070,30560,105186
11/05/2020,219814,30739,106587
12/05/2020,221216,30911,109039
13/05/2020,222104,31106,112541
14/05/2020,223096,31368,115288
15/05/2020,223885,31610,120205
16/05/2020,224760,31763,122810
17/05/2020,225435,31908,125176
18/05/2020,225886,32007,127326
19/05/2020,226699,32169,129401
20/05/2020,227364,32330,132282
21/05/2020,228006,32486,134560
22/05/2020,228658,32616,136720
23/05/2020,229327,32735,138840
24/05/2020,229858,32785,140479
25/05/2020,230158,32877,141981
26/05/2020,230555,32955,144658
27/05/2020,231139,33072,147101
28/05/2020,231732,33142,150604
29/05/2020,232248,33229,152844
30/05/2020,232664,33340,155633
31/05/2020,232997,33415,157507
01/06/2020,233197,33475,158355
02/06/2020,233515,33530,160092
03/06/2020,233836,33601,160938
04/06/2020,234013,33689,161895
05/06/2020,234531,33774,163781
06/06/2020,234801,33846,165078
07/06/2020,234998,33899,165837
08/06/2020,235278,33964,166584
09/06/2020,235561,34043,168646
10/06/2020,235763,34114,169939
11/06/2020,236142,34167,171338
12/06/2020,236305,34223,173085
13/06/2020,236651,34301,174865
14/06/2020,236989,34345,176370
15/06/2020,237290,34371,177010
16/06/2020,237500,34405,178526
17/06/2020,237828,34448,179455
18/06/2020,238159,34514,180544
19/06/2020,238011,34561,181907
20/06/2020,238275,34610,182453
21/06/2020,238499,34634,182893
22/06/2020,238720,34657,183426
23/06/2020,238833,34675,184585
24/06/2020,239410,34644,186111
25/06/2020,239706,34678,186725
26/06/2020,239961,34708,187615
27/06/2020,240136,34716,188584
28/06/2020,240310,34738,188891
29/06/2020,240436,34744,189196
30/06/2020,240578,34767,190248
01/07/2020,240760,34788,190717
02/07/2020,240961,34818,191083
03/07/2020,241184,34833,191467
04/07/2020,241419,34854,191944
