Date,Total_travel ,Daily_travel 
12/05/20,NA,NA
13/05/20,NA,NA
14/05/20,NA,NA
15/05/20,48715,NA
16/05/20,55045,6330
17/05/20,60612,5567
18/05/20,65564,4952
19/05/20,69775,4211
20/05/20,72524,2749
21/05/20,78096,5572
22/05/20,82290,4194
23/05/20,88640,6350
24/05/20,93404,4764
25/05/20,97247,3843
26/05/20,102279,5032
27/05/20,105368,3089
28/05/20,112469,7101
29/05/20,121291,8822
30/05/20,127089,5798
31/05/20,131651,4562
01/06/20,136655,5004
02/06/20,143989,7334
03/06/20,156878,12889
04/06/20,166608,9730
05/06/20,170258,3650
06/06/20,179294,9036
07/06/20,187619,8325
08/06/20,193363,5744
09/06/20,200642,7279
10/06/20,207194,6552
11/06/20,216130,8936
12/06/20,224779,8649
13/06/20,232539,7760
14/06/20,240277,7738
15/06/20,247641,7364
16/06/20,255390,7749
17/06/20,263254,7864
18/06/20,271951,8697
19/06/20,282722,10771
20/06/20,293953,11231
21/06/20,300832,6879
22/06/20,308180,7348
23/06/20,315664,7484
24/06/20,322967,7303
25/06/20,333050,10083
26/06/20,341452,8402
27/06/20,348237,6785
28/06/20,358250,10013
29/06/20,367483,9233
30/06/20,376006,8523
01/07/20,387102,11096
02/07/20,397204,10102
03/07/20,406200,8996
04/07/20,417178,10978
05/07/20,437333,20155
06/07/20,449226,11893
07/07/20,459348,10122
08/07/20,468067,8719
09/07/20,481213,13146
10/07/20,490903,9690
11/07/20,501412,10509
12/07/20,510773,9361
