Date,Current_cases,Current_deaths,Current_recoveries,New_cases,Cumulative_deaths,Cumulative_cases,Cumulative_recoveries
30/01/20,1,0,0,1,0,1,0
31/01/20,1,0,0,0,0,1,0
01/02/20,1,0,0,0,0,1,0
02/02/20,2,0,0,1,0,2,0
03/02/20,3,0,0,1,0,3,0
04/02/20,3,0,0,0,0,3,0
05/02/20,3,0,0,0,0,3,0
06/02/20,3,0,0,0,0,3,0
07/02/20,3,0,0,0,0,3,0
08/02/20,3,0,0,0,0,3,0
09/02/20,3,0,0,0,0,3,0
10/02/20,3,0,0,0,0,3,0
11/02/20,3,0,0,0,0,3,0
12/02/20,3,0,0,0,0,3,0
13/02/20,3,0,0,0,0,3,0
14/02/20,3,0,0,0,0,3,0
15/02/20,3,0,0,0,0,3,0
16/02/20,1,0,2,0,0,3,2
17/02/20,1,0,0,0,0,3,2
18/02/20,1,0,0,0,0,3,2
19/02/20,1,0,0,0,0,3,2
20/02/20,0,0,1,0,0,3,3
21/02/20,0,0,0,0,0,3,3
22/02/20,0,0,0,0,0,3,3
23/02/20,0,0,0,0,0,3,3
24/02/20,0,0,0,0,0,3,3
25/02/20,0,0,0,0,0,3,3
26/02/20,0,0,0,0,0,3,3
27/02/20,0,0,0,0,0,3,3
28/02/20,0,0,0,0,0,3,3
29/02/20,0,0,0,0,0,3,3
01/03/20,0,0,0,0,0,3,3
02/03/20,0,0,0,0,0,3,3
03/03/20,0,0,0,0,0,3,3
04/03/20,0,0,0,0,0,3,3
05/03/20,0,0,0,0,0,3,3
06/03/20,0,0,0,0,0,3,3
07/03/20,0,0,0,0,0,3,3
08/03/20,0,0,0,0,0,3,3
09/03/20,6,0,0,6,0,9,3
10/03/20,14,0,0,8,0,17,3
11/03/20,14,0,0,0,0,17,3
12/03/20,16,0,0,2,0,19,3
13/03/20,19,0,0,3,0,22,3
14/03/20,19,0,0,0,0,22,3
15/03/20,21,0,0,2,0,24,3
16/03/20,24,0,0,3,0,27,3
17/03/20,24,0,0,0,0,27,3
18/03/20,24,0,0,0,0,27,3
19/03/20,25,0,0,1,0,28,3
20/03/20,37,0,0,12,0,40,3
21/03/20,49,0,0,12,0,52,3
22/03/20,64,0,0,15,0,67,3
23/03/20,91,0,1,28,0,95,4
24/03/20,105,0,0,14,0,109,4
25/03/20,112,0,2,9,0,118,6
26/03/20,125,0,6,19,0,137,12
27/03/20,164,0,0,39,0,176,12
28/03/20,165,1,4,6,1,182,16
29/03/20,181,0,4,20,1,202,20
30/03/20,213,0,0,32,1,234,20
31/03/20,215,1,4,7,2,241,24
01/04/20,237,0,2,24,2,265,26
02/04/20,256,0,2,21,2,286,28
03/04/20,251,0,14,9,2,295,42
04/04/20,254,0,8,11,2,306,50
05/04/20,256,0,6,8,2,314,56
06/04/20,266,0,3,13,2,327,59
07/04/20,262,0,12,8,2,335,71
08/04/20,258,0,13,9,2,344,84
09/04/20,257,0,13,12,2,356,97
10/04/20,237,0,27,7,2,363,124
11/04/20,228,0,19,10,2,373,143
12/04/20,194,0,36,2,2,375,179
13/04/20,178,0,19,3,2,378,198
14/04/20,173,0,13,8,2,386,211
15/04/20,167,0,7,1,2,387,218
16/04/20,147,0,27,7,2,394,245
17/04/20,138,0,10,1,2,395,255
18/04/20,140,0,2,4,2,399,257
19/04/20,129,0,13,2,2,401,270
20/04/20,114,0,21,6,2,407,291
21/04/20,117,0,16,19,2,426,307
22/04/20,127,0,1,11,2,437,308
23/04/20,129,0,8,10,2,447,316
24/04/20,116,1,15,3,3,450,331
25/04/20,116,0,7,7,3,457,338
26/04/20,123,0,4,11,3,468,342
27/04/20,123,0,13,13,3,481,355
28/04/20,123,0,4,4,3,485,359
29/04/20,123,0,10,10,3,495,369
30/04/20,111,0,14,2,3,497,383
01/05/20,102,0,9,0,3,497,392
02/05/20,96,0,8,2,3,499,400
03/05/20,95,0,1,0,3,499,401
04/05/20,34,0,61,0,3,499,462
05/05/20,37,0,0,3,3,502,462
06/05/20,30,0,7,0,3,502,469
07/05/20,25,0,5,0,3,502,474
08/05/20,16,0,10,1,3,503,484
09/05/20,17,0,1,2,3,505,485
10/05/20,20,0,4,7,3,512,489
11/05/20,27,0,0,7,3,519,489
12/05/20,32,0,0,5,3,524,489
13/05/20,41,0,1,10,3,534,490
14/05/20,64,0,3,26,3,560,493
15/05/20,80,0,0,16,3,576,493
16/05/20,87,0,4,11,3,587,497
17/05/20,101,0,0,14,3,601,497
18/05/20,130,0,0,29,3,630,497
19/05/20,142,0,0,12,3,642,497
20/05/20,161,0,5,24,3,666,502
21/05/20,177,0,8,24,3,690,510
22/05/20,216,1,2,42,4,732,512
23/05/20,275,0,3,62,4,794,515
24/05/20,322,1,5,53,5,847,520
25/05/20,359,0,12,49,5,896,532
26/05/20,415,1,10,67,6,963,542
27/05/20,445,0,10,40,6,1003,552
28/05/20,526,1,3,85,7,1088,555
29/05/20,577,1,10,62,8,1150,565
30/05/20,624,1,10,58,9,1208,575
31/05/20,670,0,15,61,9,1269,590
01/06/20,708,1,18,57,10,1326,608
02/06/20,774,1,19,86,11,1412,627
03/06/20,832,0,24,82,11,1494,651
04/06/20,884,3,39,94,14,1588,690
05/06/20,972,0,22,111,14,1699,712
06/06/20,1029,1,50,108,15,1807,762
07/06/20,1095,0,41,107,15,1914,803
08/06/20,1174,1,11,91,16,2005,814
09/06/20,1231,0,34,91,16,2096,848
10/06/20,1238,1,57,65,17,2161,905
11/06/20,1258,1,62,83,18,2244,967
12/06/20,1303,1,32,78,19,2322,999
13/06/20,1342,0,46,85,19,2407,1045
14/06/20,1340,0,56,54,19,2461,1101
15/06/20,1347,1,73,82,20,2543,1174
16/06/20,1366,0,60,79,20,2622,1234
17/06/20,1351,0,90,75,20,2697,1324
18/06/20,1358,1,89,97,21,2794,1413
19/06/20,1380,0,96,118,21,2912,1509
20/06/20,1450,0,57,127,21,3039,1566
21/06/20,1490,0,93,133,21,3172,1659
22/06/20,1540,0,88,138,21,3310,1747
23/06/20,1620,1,60,141,22,3451,1807
24/06/20,1691,0,81,152,22,3603,1888
25/06/20,1761,0,53,123,22,3726,1941
26/06/20,1846,0,65,150,22,3876,2006
27/06/20,1939,0,102,195,22,4071,2108
28/06/20,2015,0,42,118,22,4189,2150
29/06/20,2057,1,79,122,23,4311,2229
30/06/20,2112,1,75,131,24,4442,2304
01/07/20,2130,1,132,151,25,4593,2436
02/07/20,2088,0,202,160,25,4753,2638
03/07/20,2098,0,201,211,25,4964,2839
04/07/20,2129,0,209,240,25,5204,3048
05/07/20,2228,0,126,225,25,5429,3174
06/07/20,2252,2,167,193,27,5622,3341
07/07/20,2411,0,111,272,27,5894,3452
08/07/20,2605,0,107,301,27,6195,3559
09/07/20,2795,0,149,339,27,6534,3708
10/07/20,3099,0,112,416,27,6950,3820
11/07/20,3442,2,143,488,29,7438,3963
